TEAM_NAME,W,L,SEASON,PLUS_MINUS
Thunder,14,1,22025,0.0
Pistons,13,2,22025,0.0
Cavaliers,10,5,22025,0.0
Nuggets,10,3,22025,0.0
Rockets,9,3,22025,0.0
Raptors,9,5,22025,0.0
Lakers,11,4,22025,0.0
Knicks,8,5,22025,0.0
76ers,8,5,22025,0.0
Spurs,10,4,22025,0.0
Timberwolves,9,5,22025,0.0
Hawks,9,6,22025,0.0
Heat,8,6,22025,0.0
Suns,9,6,22025,0.0
Warriors,9,7,22025,0.0
Bulls,7,6,22025,0.0
Celtics,8,7,22025,0.0
Trail Blazers,6,8,22025,0.0
Jazz,5,9,22025,0.0
Magic,8,7,22025,0.0
Bucks,8,7,22025,0.0
Clippers,4,10,22025,0.0
Grizzlies,4,11,22025,0.0
Hornets,4,10,22025,0.0
Nets,2,12,22025,0.0
Mavericks,4,11,22025,0.0
Wizards,1,12,22025,0.0
Kings,3,11,22025,0.0
Pelicans,2,12,22025,0.0
Pacers,1,13,22025,0.0
